Player,Age,Team,Position,Games_Played,Games_Started,Interceptions,Times_Targeted,Completions_When_Targeted,Completion_Percentage,Yards_Allowed,Yards_Per_Reception,Yards_Per_Target,Recieving_TD_Allowed,Passing_Rating_Allowed,Average_Depth_Of_Target,Total_Air_Yards,Total_YAC,Times_Blitzed,QB_Hurries,QB_Hits,Passes_Batted,Sacks,Pressures,Combined_Tackles,Missed_Tackles,Missed_Tackle_Percentage,Awards,season
Jarrian Jones,23,JAX,CB,17,4,1,55,37,67.3,404,10.9,7.3,0,81.2,6.1,153,251,8,1,0,0,2.0,3,40,9,18.4,,2024
Javon Kinlaw,27,NYJ,DT,17,17,0,0,0,,0,,,0,,,0,0,2,4,3,0,4.5,12,40,7,14.9,,2024
Boye Mafe,26,SEA,LB,15,11,0,9,7,77.8,78,11.1,8.7,0,102.8,0.8,-5,83,25,9,6,1,6.0,21,40,4,9.1,,2024
Anthony Nelson,27,TAM,OLB,17,6,0,9,8,88.9,40,5.0,4.4,0,85.2,1.0,13,27,43,6,10,0,4.0,20,40,3,7.0,,2024
Jabrill Peppers,29,NWE,S,6,6,1,14,8,57.1,105,13.1,7.5,0,51.2,9.7,61,44,10,1,0,0,0.0,1,40,2,4.8,,2024
Baylon Spector,26,BUF,LB,11,4,0,23,18,78.3,222,12.3,9.7,0,106.9,5.4,137,85,10,0,0,0,1.5,2,40,3,7.0,,2024
Grant Stuard,26,IND,LB,17,5,0,14,11,78.6,60,5.5,4.3,0,84.5,0.1,-7,67,5,0,0,0,0.0,0,40,2,4.8,,2024
Dorance Armstrong Jr.,27,WAS,DE,16,15,0,3,3,100.0,20,6.7,6.7,0,94.4,1.7,5,15,0,10,8,1,5.0,24,39,6,13.3,,2024
Kingsley Enagbare,24,GNB,DL,17,7,0,7,7,100.0,38,5.4,5.4,0,89.3,1.0,7,31,2,5,3,0,4.5,13,39,5,11.4,,2024
A.J. Epenesa,26,BUF,DE,17,13,0,4,2,50.0,14,7.0,3.5,0,58.3,-3.8,-8,22,0,6,4,0,6.0,16,39,2,4.9,,2024
